district_number,district_name,county,county_code,is_charter,first_year,last_year,brb_id,has_boundary,former_names,aliases
057806,ADVANTAGE ACADEMY,Dallas,057,True,2009,2025,,False,EAGLE ADVANTAGE SCHOOLS,
057807,LIFE SCHOOL,Dallas,057,True,2009,2025,,False,,
057808,UNIVERSAL ACADEMY,Dallas,057,True,2009,2025,,False,,
057809,NOVA ACADEMY,Dallas,057,True,2009,2025,,False,,
057810,ACADEMY OF DALLAS,Dallas,057,True,2009,2024,,False,,
057811,CHILDREN FIRST ACADEMY OF DALLAS,Dallas,057,True,2009,2015,,False,,
057813,TRINITY BASIN PREPARATORY,Dallas,057,True,2009,2025,,False,,
057814,ACADEMY FOR ACADEMIC EXCELLENCE,Dallas,057,True,2009,2025,,False,DALLAS COUNTY JUVENILE JUSTICE,
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,Dallas,057,True,2009,2015,,False,,
057816,A W BROWN LEADERSHIP ACADEMY,Dallas,057,True,2009,2024,,False,AW BROWN-FELLOWSHIP CHARTER SCHOOL | A W BROWN-FELLOWSHIP LEADERSHIP AC,
057817,FOCUS LEARNING ACADEMY,Dallas,057,True,2009,2016,,False,,
057819,JEAN MASSIEU ACADEMY,Dallas,057,True,2009,2025,,False,,
057821,THE SCHOOL OF LIBERAL ARTS AND SCI,Dallas,057,True,2009,2010,,False,,
057825,HONORS ACADEMY,Dallas,057,True,2009,2013,,False,,
057827,NOVA ACADEMY SOUTHEAST,Dallas,057,True,2009,2025,,False,NOVA ACADEMY (SOUTHEAST),
057828,WINFREE ACADEMY CHARTER SCHOOLS,Dallas,057,True,2009,2025,,False,,
057829,A+ ACADEMY,Dallas,057,True,2009,2025,,False,,
057830,INSPIRED VISION ACADEMY,Dallas,057,True,2009,2025,,False,,
057831,GATEWAY CHARTER ACADEMY,Dallas,057,True,2009,2025,,False,,
057832,ALPHA CHARTER SCHOOL,Dallas,057,True,2009,2015,,False,,
057833,EDUCATION CENTER INTERNATIONAL ACADEMY,Dallas,057,True,2009,2025,,False,EDUCATION CENTER INTERNATIONAL ACA,
057834,EVOLUTION ACADEMY CHARTER SCHOOL,Dallas,057,True,2009,2025,,False,,
057835,GOLDEN RULE CHARTER SCHOOL,Dallas,057,True,2009,2025,,False,,
057836,ST ANTHONY SCHOOL,Dallas,057,True,2009,2025,,False,,
